,Title,Published_date,Views,Likes,Dislikes,Comments,Month
0,Case Statements in MySQL | Intermediate MySQL,2024-02-13,1847,100,0,10,Feb
1,We did our best,2024-02-08,3171,151,0,4,Feb
2,"Microsoft Copilot Full Review | AI in Word, PowerPoint, Excel and More!",2024-02-06,22789,347,0,29,Feb
3,Top 5 Emerging Trends in 2024 | CareerFoundry Webinar,2024-01-30,11978,453,0,8,Jan
4,String Functions in MySQL | Intermediate MySQL Series,2024-01-30,4911,135,0,12,Jan
5,Unions in MySQL | Intermediate MySQL,2024-01-23,4744,169,0,12,Jan
6,Joins in MySQL | Intermediate MySQL,2024-01-16,18533,243,0,21,Jan
7,Is my background in Data Analytics?,2024-01-15,7575,505,0,13,Jan
8,Solving VERY HARD SQL Interview Questions on Analyst Builder,2024-01-11,7550,293,0,16,Jan
9,Solving HARD SQL Interview Questions on Analyst Builder,2024-01-09,14638,312,0,22,Jan
10,Hard Skills vs Soft Skills,2024-01-08,5546,435,0,3,Jan
11,Solving Medium SQL Interview Questions on Analyst Builder,2024-01-04,15251,351,0,39,Jan
12,Solving Easy SQL Interview Questions on Analyst Builder,2024-01-02,23817,665,0,41,Jan
13,How I Would Become a Data Analyst if I had to Start Over in 2024 | 6 Month Plan,2023-12-26,166172,6930,0,233,Dec
14,Limit + Aliasing in MySQL | MySQL Beginner Series,2023-12-19,7917,206,0,10,Dec
15,Practice SQL and Python right on your Phone!,2023-12-13,6288,488,0,17,Dec
16,Analyst Builder Full Launch! | The Learning Platform Built for Data Analysts,2023-12-12,15234,695,0,81,Dec
17,Analyst Builder Full Launch LiveStream | 20% Off Code & Giveaways,2023-12-11,11342,475,0,13,Dec
18,Having vs Where in MySQL | Beginner MySQL Series,2023-12-05,7575,260,0,15,Dec
19,#Excel is Frustrating,2023-11-29,7521,492,0,8,Nov
20,7 Mistakes to Avoid in Your Data Analytics Job Search | CareerFoundry Webinar,2023-11-28,13258,424,0,11,Nov
21,Group By + Order By in MySQL | Beginner MySQL Series,2023-11-28,7240,221,0,10,Nov
22,Where Clause in MySQL | Beginner MySQL Series,2023-11-21,8257,230,0,23,Nov
23,Why Data Analysts Hate Using Excel,2023-11-14,22173,872,0,136,Nov
24,Select Statement in MySQL | Beginner MySQL Series,2023-11-07,17169,288,0,18,Nov
25,Installing MySQL and Creating Databases | MySQL for Beginners,2023-10-31,42792,889,0,71,Oct
26,Python Beginner to Advanced in One Hour | CareerFoundry Webinar,2023-10-26,22116,906,0,14,Oct
27,How to Start a Data YouTube Channel,2023-10-24,7894,381,0,46,Oct
28,600k Livestream! | Analyst Builder Giveaways | Songs | My Mom is Joining!,2023-10-20,5099,240,0,11,Oct
29,Consulting and Freelancing in Data Analytics | ATA Show: Episode 25,2023-10-17,13825,536,0,218,Oct
30,Data Analyst vs Business Analyst,2023-10-13,24490,1549,0,15,Oct
31,First Look at Analyst Builder! | The All-in-One Platform for Data Analysts | Beta Launch Coming Soon,2023-10-10,31511,854,0,210,Oct
32,#DataAnalysis #DataAnalyst #DataRealities,2023-10-09,17757,1088,0,18,Oct
33,#DataAnalyst #DataCareers #DataAnalysis,2023-10-05,11733,905,0,25,Oct
34,"Data Analyst vs Data Engineer | Responsibilities, Salaries, Skills, Education",2023-10-03,32865,709,0,40,Oct
35,Data Analyst Q/A Livestream | September Livestream | Ask Me Anything!,2023-09-28,8848,286,0,21,Sep
36,#Salary #DataAnalyst #SalaryNegotiation,2023-09-28,11068,760,0,7,Sep
37,AI and Analytics with SAS | SAS Explore Recap,2023-09-26,11192,338,0,22,Sep
38,My Very First Video,2023-09-25,6597,364,0,24,Sep
39,#DataAnalyst #CareerPath,2023-09-22,15042,1210,0,14,Sep
40,"Data Analyst vs Data Scientist | Responsibilities, Salaries, Skills, Education",2023-09-19,39727,990,0,52,Sep
41,#Excel #DataAnalyst #DataAnalysis,2023-09-18,11987,1011,0,19,Sep
42,"Data Analyst vs Business Analyst | Responsibilities, Salaries, Skills, Education",2023-09-12,38931,1426,0,97,Sep
43,#DataAnalysis #DataAnalyst,2023-09-07,16245,1193,0,22,Sep
44,Hard Skills vs Soft Skills in the Data World | Which is More Important?,2023-09-05,12640,617,0,28,Sep
45,"Entry Level vs Mid Level vs Senior Level Data Analyst | Responsibilities, Salary, Education, Skills",2023-08-29,36967,1710,0,112,Aug
46,#DataAnalyst #DataAnalysis #Promotion,2023-08-28,9261,570,0,9,Aug
47,#DataAnalyst #DataAnalysis,2023-08-24,17887,1214,0,52,Aug
48,Regular Expression Use Cases in Python,2023-08-22,6731,159,0,18,Aug
49,Data Analyst Q/A Livestream | August Livestream | Ask Me Anything!,2023-08-18,8411,321,0,25,Aug
50,#DataAnalystSalary #DataAnalysis,2023-08-17,27246,2046,0,36,Aug
51,How to Work with Recruiters on LinkedIn,2023-08-15,25470,1377,0,70,Aug
52,#dataanalysis #dataportfolio,2023-08-14,18595,1676,0,18,Aug
53,#wife #careerchange #dataanalysis,2023-08-11,17988,1715,0,49,Aug
54,LINK: https://www.youtube.com/playlist?list=PLUaB-1hjhk8FE_XZ87vPPSfHqb6OcM0cF,2023-08-09,6357,705,0,44,Aug
55,Regular Expression Character Classes in Python,2023-08-08,6965,136,0,13,Aug
56,#Recruiters #dataanalysis #data,2023-08-03,14816,1034,0,24,Aug
57,Regular Expression Metacharacters in Python,2023-08-01,4979,132,0,8,Aug
58,How much do Data Analysts make? #dataanalyst #dataanalystsalary,2023-07-31,17523,721,0,41,Jul
59,Do you need to learn SQL if you can do everything in Python?  #Python #dataanalysis #SQL,2023-07-28,38950,2458,0,38,Jul
60,Regular Expression Methods in Python,2023-07-25,6309,195,0,9,Jul
61,What are Hiring Managers Looking For? | Nail the Interview Process!,2023-07-18,20356,922,0,64,Jul
62,Scraping Data from a Real Website | Web Scraping in Python,2023-07-11,214851,4385,0,200,Jul
63,SQL Beginner to Advanced in One Hour | CareerFoundry Webinar,2023-07-06,178747,5609,0,99,Jul
64,Find and Find_All | Web Scraping in Python,2023-07-04,29358,907,0,22,Jul
65,500k Livestream!!,2023-06-28,6237,385,0,24,Jun
66,BeautifulSoup + Requests | Web Scraping in Python,2023-06-27,58054,1292,0,35,Jun
67,Inspecting Web Pages with HTML | Web Scraping in Python,2023-06-20,34428,971,0,29,Jun
68,Best Places to Find Datasets for Your Projects,2023-06-13,52992,1892,0,54,Jun
69,Exploratory Data Analysis in Pandas | Python Pandas Tutorials,2023-06-06,76668,1999,0,122,Jun
70,Data Analyst Q/A Livestream | May Livestream | Ask Me Anything!,2023-05-30,10168,366,0,21,May
71,What is Microsoft Fabric? | New Data Analytics Platform!,2023-05-29,161688,3831,0,125,May
72,Data Cleaning in Pandas | Python Pandas Tutorials,2023-05-23,178571,4800,0,255,May
73,The Ultimate Data Analytics Career Plan for 2023 | CareerFoundry Webinar,2023-05-16,57620,1887,0,54,May
74,State of AI in Analytics | Will AI be the End of Data Analysts?,2023-05-15,44265,1338,0,384,May
75,Google Bard Got An Upgrade! + Google's New AI Announcements!,2023-05-12,33239,807,0,80,May
76,Creating Visualizations using Pandas Library | Python Pandas Tutorials,2023-05-09,36517,874,0,30,May
77,Merging DataFrames in Pandas | Python Pandas Tutorials,2023-05-02,50428,1279,0,40,May
78,Data Analyst Q/A Livestream | April Livestream | Ask Me Anything!,2023-04-27,10231,340,0,27,Apr
79,How to Integrate ChatGPT in Jupyter Notebooks for Free!,2023-04-25,44928,1052,0,52,Apr
80,7 Ways to Use ChatGPT for Analytics | Webinar,2023-04-18,38312,1079,0,34,Apr
81,Google Business Intelligence Professional Certification Review,2023-04-18,36252,1055,0,67,Apr
82,Google Advanced Data Analytics Professional Certificate First Look | Is it Worth it?,2023-04-10,135856,3943,0,372,Apr
83,Group By and Aggregate Functions in Pandas | Python Pandas Tutorials,2023-04-04,39430,1092,0,64,Apr
84,Top 5 Biggest Mistakes Beginner Data Analysts Make,2023-03-28,37921,1754,0,86,Mar
85,Indexes in Pandas | Python Pandas Tutorials,2023-03-21,28453,738,0,29,Mar
86,Create the Perfect Data Analyst Resume | Free Templates!,2023-03-14,127371,4044,0,202,Mar
87,Filtering Columns and Rows in Pandas | Python Pandas Tutorials,2023-03-07,44406,1099,0,41,Mar
88,Data Analyst Q/A Livestream | March Livestream | Ask Me Anything!,2023-03-02,11136,398,0,33,Mar
89,Reading in Files in Pandas | Python Pandas Tutorials,2023-02-28,85307,1596,0,59,Feb
90,Building an Automated File Sorter in File Explorer using Python | Python Projects for Beginners,2023-02-21,37708,912,0,62,Feb
91,ChatGPT for Data Analysts | Best Use Cases + Analyzing a Dataset,2023-02-14,436568,8280,0,224,Feb
92,FREE Data Analyst Bootcamp!!,2023-02-07,827920,28090,0,1272,Feb
93,How to Become a Data Analyst in 2023 (Completely FREE!),2023-01-31,925743,33046,0,961,Jan
94,Live Portfolio Review with Alex the Analyst!  | Live Webinar,2023-01-25,17305,628,0,23,Jan
95,DIY Data Analyst Curriculum using Udemy (Under $75),2023-01-24,35175,1324,0,118,Jan
96,Reviewing Maven Analytics Free Portfolio Website,2023-01-17,21786,690,0,44,Jan
97,5 Study Hacks for Beginner Data Analysts! | Live Webinar,2023-01-16,45718,1365,0,36,Jan
98,DIY Data Analyst Curriculum using Coursera in 2023,2023-01-10,59062,2854,0,222,Jan
99,Building a BMI Calculator with Python | Python Projects for Beginners,2023-01-03,48852,1079,0,62,Jan
100,"Reading, Writing, and Appending Files in Python | Python for Beginners",2022-12-27,6066,200,0,12,Dec
101,Why I Quit my 125k Analytics Job,2022-12-20,155042,8673,0,867,Dec
102,Data Analyst Q/A Livestream + Special Guest! | December Livestream,2022-12-17,5039,168,0,16,Dec
103,Converting Data Types in Python | Python for Beginners,2022-12-13,26852,801,0,25,Dec
104,Functions in Python | Python for Beginners,2022-12-06,33287,949,0,27,Dec
